model_name,stimuli_name,neural_response_shape,layer_name,ceiling_score,brain_score_std,brain_score
beit_base_patch16_224.in22k_ft_in22k_in1k,MajajHong2015public,"(3200, 168)",blocks.8.norm2,0.815799356,0.017195399,0.559046512
beitv2_base_patch16_224.in1k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.8.norm2,0.815799356,0.011426649,0.520762762
beitv2_base_patch16_224.in1k_ft_in22k_in1k,MajajHong2015public,"(3200, 168)",blocks.8.norm2,0.815799356,0.014044378,0.548652495
beit_base_patch16_384.in22k_ft_in22k_in1k,MajajHong2015public,"(3200, 168)",blocks.8.norm2,0.815799356,0.017341478,0.559408919
beit_large_patch16_224.in22k_ft_in22k_in1k,MajajHong2015public,"(3200, 168)",blocks.12,0.815799356,0.009829311,0.53425552
beit_large_patch16_384.in22k_ft_in22k_in1k,MajajHong2015public,"(3200, 168)",blocks.12.mlp.fc1,0.815799356,0.010155576,0.539756343
beit_large_patch16_512.in22k_ft_in22k_in1k,MajajHong2015public,"(3200, 168)",blocks.12,0.815799356,0.009612329,0.540239871
beitv2_large_patch16_224.in1k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.19.norm1,0.815799356,0.0101578,0.519306464
beitv2_large_patch16_224.in1k_ft_in22k_in1k,MajajHong2015public,"(3200, 168)",blocks.16.attn,0.815799356,0.012588018,0.532983808
caformer_m36.sail_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.6.norm2,0.815799356,0.013611403,0.533664494
caformer_m36.sail_in22k_ft_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.11.norm2,0.815799356,0.015758198,0.522990583
caformer_s18.sail_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.4,0.815799356,0.014759471,0.510610207
caformer_s18.sail_in22k_ft_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.4.norm2,0.815799356,0.016872414,0.520576603
caformer_s36.sail_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.6.norm2,0.815799356,0.015770763,0.52091112
