model_name,model_type,ImageNet-top1,MajajHong2015.IT-pls,vision_or_VLM
vonegrcnn_52e_full,RNN,0.703,0.569,vision
vonegrcnn_62e_nobn,RNN,0.702,0.566,vision
custom_model_cv_18_dagger_408,CNN,0.641,0.561,vision
effnetb1_cutmixrespatch_SAM_robust32_e2_manylayers_324x288,Adversarial,0.402,0.56,vision
effnetb1_cutmixrespatch_SAM_robust32_e10_manylayers_324x288,Adversarial,0.414,0.56,vision
effnetb1_cutmixpatch_SAM_robust32_avge6e8e9e10_manylayers_324x288,Adversarial,0.437,0.56,vision
ReAlnet10_cornet,RNN,0.641,0.559,vision
AdvProp_efficientnet-b4,CNN,0.718,0.559,vision
AT_efficientnet-b4,CNN,0.718,0.559,vision
ReAlnet03_cornet,RNN,0.644,0.558,vision
effnetb1_cutmix_augmix_sam_e1_5avg_424x377,CNN,0.583,0.556,vision
ReAlnet08_cornet,RNN,0.644,0.555,vision
ReAlnet07_cornet,RNN,0.644,0.555,vision
resnet-50_v1-tf,CNN,0.752,0.555,vision
shufflenet_v2_x1_0,CNN,0.643,0.554,vision
ReAlnet05_cornet,RNN,0.646,0.554,vision
mobilenet_v2_1.4_224-tf,CNN,0.75,0.554,vision
antialiased-rnext101_32x8d,CNN,0.757,0.554,vision
ReAlnet02_cornet,RNN,0.642,0.553,vision
AdvProp_efficientnet-b6,CNN,0.741,0.553,vision
resnet-152_v1-tf,CNN,0.768,0.553,vision
ReAlnet09_cornet,RNN,0.644,0.552,vision
ReAlnet01_cornet,RNN,0.645,0.552,vision
ReAlnet06_cornet,RNN,0.648,0.552,vision
resnet50_robust_l2_eps1,Adversarial,0.671,0.552,vision
AdvProp_efficientnet-b2,CNN,0.739,0.552,vision
resnet50-SIN_IN,CNN,0.746,0.552,vision
nasnet_mobile,CNN,0.706,0.551,vision
mobilenet_v2_0.75_192-tf,CNN,0.687,0.55,vision
mobilenet_v2_1.0_160-tf,CNN,0.688,0.55,vision
AT_efficientnet-b2,CNN,0.739,0.55,vision
ReAlnet04_cornet,RNN,0.648,0.549,vision
voneresnet-50-robust,Adversarial,0.653,0.549,vision
mobilenet_v1_1.0_160,CNN,0.68,0.549,vision
efficientnet_b1_imagenet_full,CNN,0.684,0.549,vision
resnet-101_v1-tf,CNN,0.764,0.549,vision
densenet-169-keras,CNN,0.759,0.548,vision
resnet50-moclr8deg,CNN,0.647,0.547,vision
mobilenet_v2_0.75_160-tf,CNN,0.664,0.547,vision
mobilenet_v2_1.0_192-tf,CNN,0.707,0.547,vision
AdvProp_efficientnet-b7,Adversarial,0.751,0.547,vision
efficientnet_b2_imagenet_full,CNN,0.697,0.546,vision
mobilenet_v1_1.0_224,CNN,0.709,0.546,vision
densenet-169,CNN,0.718,0.546,vision
mobilenet_v2_1.0_224-tf,CNN,0.718,0.546,vision
antialiased-r50,CNN,0.732,0.545,vision
resnet50-SIN_IN_IN,CNN,0.767,0.545,vision
densenet-201-keras,CNN,0.772,0.545,vision
inception_v3-tf,CNN,0.78,0.545,vision
densenet-201,CNN,0.722,0.544,vision
mobilenet_v1_1.0_192,CNN,0.7,0.543,vision
voneresnet-50-non_stochastic,CNN,0.702,0.543,vision
efficientnet-b7,CNN,0.726,0.543,vision
mobilenet_v2_1.3_224-tf,CNN,0.744,0.543,vision
inception_resnet_v2,CNN,0.804,0.543,vision
effnetb1_cutmixpatch_augmix_robust32_e5_324x288,Adversarial,0.471,0.542,vision
