model,top1,multi_label_acc,param_count,type1,type2,img_size,time,spearman,spearman_std
beit_base_patch16_224.in22k_ft_in22k_in1k,85.212,0.9417,86.53,selfsup,none,224,3338.618742,0.025531051,0.177143087
beit_base_patch16_384.in22k_ft_in22k_in1k,86.8,0.9545,86.74,selfsup,none,384,7911.40217,0.053614175,0.161363884
beit_large_patch16_224.in22k_ft_in22k_in1k,87.478,0.9604,304.43,selfsup,none,224,4889.827562,-0.054038492,0.176809977
beit_large_patch16_384.in22k_ft_in22k_in1k,88.402,0.9671,305,selfsup,none,384,15092.66918,-0.010265147,0.236634929
beit_large_patch16_512.in22k_ft_in22k_in1k,88.596,0.9681,305.67,selfsup,none,512,23251.13314,0.005203216,0.228685214
beitv2_base_patch16_224.in1k_ft_in1k,85.594,0.944,86.53,selfsup,none,224,3327.534871,-0.081822022,0.203685317
beitv2_base_patch16_224.in1k_ft_in22k_in1k,86.474,0.952,86.53,selfsup,none,224,3325.604223,-0.082720468,0.205399955
beitv2_large_patch16_224.in1k_ft_in1k,87.412,0.9576,304.43,selfsup,none,224,6545.710315,-0.164318776,0.286383802
beitv2_large_patch16_224.in1k_ft_in22k_in1k,88.394,0.966,304.43,selfsup,none,224,6553.636875,-0.150795053,0.273159229
caformer_m36.sail_in1k,85.232,0.9403,56.2,hybrid,none,224,5333.478603,-0.090967543,0.078425869
caformer_m36.sail_in22k_ft_in1k,86.594,0.952,56.2,hybrid,big_data,224,5372.713708,-0.012704194,0.075000122
caformer_s18.sail_in1k,83.656,0.9267,26.34,hybrid,none,224,3343.65354,-0.008556846,0.079258282
caformer_s18.sail_in22k_ft_in1k,84.076,0.9305,26.34,hybrid,big_data,224,3355.163341,0.186010446,0.078335807
caformer_s36.sail_in1k,84.508,0.933,39.3,hybrid,none,224,4085.945554,-0.095727622,0.079844062
caformer_s36.sail_in22k_ft_in1k,85.792,0.9454,39.3,hybrid,big_data,224,4201.379098,0.018129619,0.077599154
cait_s24_224.fb_dist_in1k,83.442,0.9223,46.92,vit,none,224,3654.219926,-0.060846179,0.075367186
cait_xxs24_224.fb_dist_in1k,78.384,0.8743,11.96,vit,none,224,3104.108526,0.010807549,0.077144681
cait_xxs36_224.fb_dist_in1k,79.746,0.8888,17.3,vit,none,224,3518.543099,-0.023340745,0.076682846
coat_lite_medium.in1k,83.6,0.9248,44.57,hybrid,none,224,4574.625133,0.073847034,0.08104918
coat_lite_mini.in1k,79.102,0.8809,11.01,hybrid,none,224,2916.610617,0.059282956,0.078783557
coat_lite_small.in1k,82.314,0.9118,19.84,hybrid,none,224,3353.827728,-0.043776555,0.075923333
coat_lite_tiny.in1k,77.52,0.8658,5.72,hybrid,none,224,2913.171114,0.169201294,0.082800694
coat_mini.in1k,81.27,0.9034,10.34,hybrid,none,224,4381.155059,0.07263475,0.076348766
coat_small.in1k,82.362,0.9134,21.69,hybrid,none,224,4963.660939,-0.038560034,0.080120145
coat_tiny.in1k,78.426,0.8749,5.5,hybrid,none,224,3921.997285,0.162875402,0.080982359
coatnet_0_rw_224.sw_in1k,82.39,0.912,27.44,hybrid,none,224,2477.329585,0.055841775,0.074232543
coatnet_1_rw_224.sw_in1k,83.596,0.9249,41.72,hybrid,none,224,1987.642365,-0.053451348,0.076105926
