model_name,SanghaviJozwik2020.V4-pls,Sanghavi2020.V4-pls,SanghaviMurty2020.V4-pls,MajajHong2015.V4-pls,ImageNet-top1,new_brain_score,new_brain_score_average
convnext_large_mlp:clip_laion2b_augreg_ft_in1k_384,0.458,0.616,0.239,0.6,X,0.6,0.47825
convnext_xlarge:fb_in22k_ft_in1k,0.494,0.617,0.24,0.567,0.853,0.567,0.4795
vit_base_patch16_clip_224:openai_ft_in12k_in1k,0.463,0.596,0.229,0.551,0.828,0.551,0.45975
vit_large_patch14_clip_224:laion2b_ft_in1k,0.463,0.603,0.247,0.556,0.845,0.556,0.46725
vit_large_patch14_clip_224:openai_ft_in1k,0.465,0.613,0.239,0.57,0.85,0.57,0.47175
vit_base_patch16_clip_224:openai_ft_in1k,0.515,0.646,0.24,0.562,0.828,0.562,0.49075
vit_relpos_base_patch16_clsgap_224:sw_in1k,0.51,0.633,0.231,0.546,0.792,0.546,0.48
cvt_cvt-w24-384-in22k_finetuned-in1k_4,0.503,0.627,0.253,0.59,0.835,0.59,0.49325
resnext101_32x8d_wsl,0.502,0.646,0.212,0.586,0.842,0.586,0.4865
vit_large_patch14_clip_224:laion2b_ft_in12k_in1k,0.489,0.619,0.238,0.569,0.852,0.569,0.47875
swin_small_patch4_window7_224:ms_in22k_ft_in1k,0.483,0.622,0.265,0.589,0.809,0.589,0.48975
convnext_large:fb_in22k_ft_in1k,0.49,0.594,0.248,0.578,0.851,0.578,0.4775
convnext_xxlarge:clip_laion2b_soup_ft_in1k,X,X,0.238,0.586,X,0.586,0.412
vit_large_patch14_clip_224:openai_ft_in12k_in1k,0.501,0.638,0.25,0.567,0.845,0.567,0.489
convnext_tiny_imagenet_full_seed-0,0.5,0.638,0.204,0.584,0.777,0.584,0.4815
deit_large_imagenet_full_seed-0,0.504,0.645,0.223,0.574,0.795,0.574,0.4865
convnext_large_imagenet_full_seed-0,0.49,0.617,0.235,0.589,0.799,0.589,0.48275
resnext101_32x48d_wsl,0.488,0.637,0.219,0.582,0.822,0.582,0.4815
deit_base_imagenet_full_seed-0,0.456,0.621,0.209,0.561,0.777,0.561,0.46175
resnet50-vitoimagevidnet8,0.476,0.613,0.218,0.569,0.615,0.569,0.469
convnext_base_imagenet_full_seed-0,0.487,0.635,0.217,0.592,0.798,0.592,0.48275
resnet50-VITO-8deg-cc,0.499,0.623,0.23,0.578,0.616,0.578,0.4825
effnetb1_272x240,0.501,0.643,0.254,0.578,0.777,0.578,0.494
convnext_small_imagenet_full_seed-0,0.491,0.636,0.211,0.592,0.793,0.592,0.4825
vit_huge_patch14_clip_224:laion2b_ft_in12k_in1k,X,X,0.246,0.57,X,0.57,0.408
effnetb1_cutmixpatch_augmix_robust32_avge4e7_manylayers_324x288,0.481,0.641,0.198,0.603,0.476,0.603,0.48075
convnext_tiny:in12k_ft_in1k,0.484,0.621,0.243,0.58,0.805,0.58,0.482
resnet152_imagenet_full,0.51,0.645,0.251,0.602,X,0.602,0.502
vit_relpos_base_patch32_plus_rpn_256:sw_in1k,0.44,0.562,0.19,0.536,0.76,0.536,0.432
vit_large_patch14_clip_336:openai_ft_in12k_in1k,0.471,0.616,0.24,0.575,X,0.575,0.4755
resnext101_32x32d_wsl,0.489,0.629,0.208,0.574,0.854,0.574,0.475
cvt_cvt-21-384-in22k_finetuned-in1k_4_LucyV4,0.501,0.634,0.248,0.583,0.766,0.583,0.4915
voneresnet-50,0.494,0.641,0.221,0.582,X,0.582,0.4845
cvt_cvt-13-224-in1k_4_LucyV4,0.504,0.618,0.236,0.577,0.764,0.577,0.48375
vit_large_patch14_clip_336:laion2b_ft_in1k,0.454,0.594,0.238,0.562,X,0.562,0.462
deit_small_imagenet_full_seed-0,0.506,0.627,0.224,0.558,0.75,0.558,0.47875
resnet50_robust_l2_eps1,0.481,0.633,0.235,0.588,0.671,0.588,0.48425
cvt_cvt-13-384-in22k_finetuned-in1k_4_LucyV4,0.518,0.664,0.215,0.584,0.749,0.584,0.49525
cvt_cvt-21-384-in1k_4_LucyV4,0.503,0.625,0.265,0.578,0.762,0.578,0.49275
Res2Net50_26w_4s,0.504,0.642,0.236,0.604,0.748,0.604,0.4965
cvt_cvt-21-224-in1k_4_LucyV4,0.496,0.609,0.245,0.559,0.766,0.559,0.47725
resnet50_tutorial,0.51,0.656,0.2,0.602,0.718,0.602,0.492
resnet50-moclr8deg,0.487,0.618,0.215,0.569,0.647,0.569,0.47225
antialiased-r50,0.514,0.655,0.212,0.607,0.732,0.607,0.497
AdvProp_efficientnet-b6,0.483,0.643,0.23,0.587,0.741,0.587,0.48575
focalnet_tiny_lrf_in1k,0.49,0.653,0.249,0.592,0.781,0.592,0.496
resnet_50_v2,0.508,0.623,0.175,0.562,0.758,0.562,0.467
effnetb1_cutmixpatch_SAM_robust32_avge6e8e9e10_manylayers_324x288,0.487,0.638,0.204,0.611,0.437,0.611,0.485
efficientnet_b0,0.487,0.636,0.233,0.566,0.733,0.566,0.4805
cvt_cvt-13-384-in1k_4_LucyV4,0.5,0.623,0.244,0.576,0.774,0.576,0.48575
resnet_50_v1,0.51,0.656,0.2,0.602,0.718,0.602,0.492
grcnn,0.472,0.623,0.239,0.592,0.732,0.592,0.4815
AT_efficientnet-b2,0.482,0.636,0.169,0.563,0.739,0.563,0.4625
resnext101_32x16d_wsl,0.512,0.645,0.21,0.587,0.851,0.587,0.4885
convnext_base:clip_laiona_augreg_ft_in1k_384,0.458,0.615,0.224,0.592,0.841,0.592,0.47225
convnext_femto_ols:d1_in1k,0.485,0.631,0.24,0.588,0.729,0.588,0.486
resnet50-SIN_IN,0.506,0.648,0.204,0.599,0.746,0.599,0.48925
shufflenet_v2_x1_0,0.463,0.602,0.189,0.556,0.643,0.556,0.4525
vit_tiny_r_s16_p8_384:augreg_in21k_ft_in1k,0.469,0.616,0.198,0.571,0.715,0.571,0.4635
AdvProp_efficientnet-b2,0.478,0.638,0.183,0.565,0.739,0.565,0.466
resnet50-SIN,0.477,0.612,0.2,0.58,0.602,0.58,0.46725
resnet50-SIN_IN_IN,0.51,0.651,0.202,0.596,0.767,0.596,0.48975
AdvProp_efficientnet-b4,0.502,0.663,0.212,0.579,0.718,0.579,0.489
resnet_SIN_IN_FT_IN,0.51,0.651,0.202,0.596,0.731,0.596,0.48975
voneresnet-50-non_stochastic,0.487,0.632,0.233,0.584,0.702,0.584,0.484
AdvProp_efficientnet-b7,0.482,0.64,0.218,0.581,0.751,0.581,0.48025
resnet101_imagenet_full,0.509,0.636,0.252,0.599,X,0.599,0.499
resnet50_imagenet_full,0.476,0.635,0.192,0.575,X,0.575,0.4695
efficientnet_b2_imagenet_full,0.488,0.653,0.266,0.597,0.697,0.597,0.501
nasnet_mobile,0.507,0.63,0.206,0.585,0.706,0.585,0.482
resnet50_robust_l2_eps3,0.476,0.612,0.19,0.564,0.533,0.564,0.4605
convnext_tiny_sup,0.481,0.631,0.237,0.577,0.78,0.577,0.4815
effnetb1_cutmix_augmix_sam_e1_5avg_424x377,0.487,0.65,0.252,0.605,0.583,0.605,0.4985
BiT-S-R50x1,0.438,0.617,0.206,0.555,0.708,0.555,0.454
BiT-S-R101x1,0.432,0.617,0.196,0.572,0.72,0.572,0.45425
resnet50-sup,0.51,0.656,0.2,0.602,0.722,0.602,0.492
resnet-50-robust,0.447,0.552,0.211,0.537,0.533,0.537,0.43675
imagenet_l2_3_0,0.475,0.614,0.184,0.562,0.533,0.562,0.45875
inception_v3,0.476,0.622,0.219,0.586,0.735,0.586,0.47575
inception_v1,0.474,0.602,0.252,0.583,0.662,0.583,0.47775
efficientnet_b0_imagenet_full,0.473,0.637,0.166,0.581,0.681,0.581,0.46425
vit_huge_patch14_clip_336:laion2b_ft_in12k_in1k,X,X,0.232,X,X,X,0.232
AdvProp_efficientnet-b8,0.48,0.647,0.202,0.573,0.63,0.573,0.4755
resnet18_imagenet_full,0.493,0.641,0.185,0.591,X,0.591,0.4775
ReAlnet10,0.455,0.583,0.177,0.526,0.641,0.526,0.43525
ReAlnet_incorrect,0.484,0.63,0.177,0.583,0.645,0.583,0.4685
mobilenet_v2_1_0_128,0.462,0.622,0.199,0.569,X,0.569,0.463
vgg_16,0.458,0.646,0.208,0.614,0.67,0.614,0.4815
voneresnet-50-robust,0.487,0.638,0.187,0.57,0.653,0.57,0.4705
resnet101_ecoset_full,0.507,0.642,0.243,0.6,X,0.6,0.498
resnet50-vicregl0p9,0.487,0.626,0.224,0.584,0.001,0.584,0.48025
ReAlnet04,0.448,0.569,0.157,0.514,0.648,0.514,0.422
ReAlnet08,0.459,0.579,0.169,0.524,0.644,0.524,0.43275
densenet-201,0.492,0.627,0.208,0.571,0.722,0.571,0.4745
resnet34_imagenet_full,0.482,0.636,0.194,0.596,X,0.596,0.477
ReAlnet07,0.45,0.577,0.165,0.523,0.644,0.523,0.42875
resnet152_ecoset_full,0.508,0.644,0.249,0.604,X,0.604,0.50125
grcnn_109,0.478,0.626,0.229,0.565,0.745,0.565,0.4745
resnet18_ecoset_full,0.493,0.639,0.195,0.587,X,0.587,0.4785
efficientnet_b1_imagenet_full,0.469,0.656,0.191,0.584,0.684,0.584,0.475
