model_name,model_type,input_size,total_params,analysis,num_transformer_layers,num_normalizations,num_skip_connections,num_convolutional_layers,num_dense_layers,final_receptive_field_size,num_strides,num_max_pools,pretrain_dataset,results-imagenet,results-sketch,results-imagenetv2-matched-frequency,results-imagenet-r,results-imagenet-a
bat_resnext26ts.ch_in1k,CNN,256,10694448,"{'model_type': 'CNN', 'num_layers': 115, 'num_normalizations': 48, 'num_skip_connections': 6, 'num_convolutional_layers': 75, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 1, 'num_parameters': 10293512}",0,48,6,75,1,0.0,0.0,1.0,bat_resnext26ts,78.28,25.501,66.25,37.107,8.92
beit_base_patch16_224.in22k_ft_in22k,ViT,224,102414673,"{'model_type': 'ViT', 'num_layers': 14, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 26, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 67470649}",12,26,0,1,26,0.0,0.0,0.0,beit_base_patch16_224,,,,,
beit_base_patch16_224.in22k_ft_in22k_in1k,ViT,224,86387944,"{'model_type': 'ViT', 'num_layers': 14, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 26, 'final_receptive_field_size': None, 'num_strides': None, 'num_max_pools': None, 'num_parameters': 57130952}",12,26,0,1,26,,,,beit_base_patch16_224,85.244,46.258,75.7,60.163,50.747
beit_base_patch16_384.in22k_ft_in22k_in1k,ViT,384,86387944,"{'model_type': 'ViT', 'num_layers': 14, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 26, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 58840232}",12,26,0,1,26,0.0,0.0,0.0,beit_base_patch16_384,86.816,48.69,77.77,63.403,66.987
beit_large_patch16_224.in22k_ft_in22k,ViT,224,325412177,"{'model_type': 'ViT', 'num_layers': 26, 'num_normalizations': 49, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 50, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 272153601}",24,49,0,1,50,-1.0,0.0,0.0,beit_large_patch16_224,,,,,
beit_large_patch16_224.in22k_ft_in22k_in1k,ViT,224,304050152,"{'model_type': 'ViT', 'num_layers': 26, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 50, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 140890120}",24,26,0,1,50,-1.0,0.0,0.0,beit_large_patch16_224,87.488,54.973,79.36,71.033,69.053
beit_large_patch16_384.in22k_ft_in22k_in1k,ViT,384,304050152,"{'model_type': 'ViT', 'num_layers': 26, 'num_normalizations': 48, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 50, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 118514376}",24,48,0,1,50,,0.0,0.0,beit_large_patch16_384,88.382,56.979,80.27,73.187,80.173
beit_large_patch16_512.in22k_ft_in22k_in1k,ViT,512,304050152,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 50, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 49, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 140024008}",24,50,0,1,49,,0.0,0.0,beit_large_patch16_512,88.578,56.796,80.82,73.047,82.96
beitv2_base_patch16_224.in1k_ft_in1k,ViT,224,86387944,"{'model_type': 'ViT', 'num_layers': 15, 'num_normalizations': 26, 'num_skip_connections': 24, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 25, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 46050232}",12,26,24,1,25,-1.0,0.0,0.0,beitv2_base_patch16_224,85.596,45.998,76.46,61.487,53.64
beitv2_base_patch16_224.in1k_ft_in22k,ViT,224,102414673,"{'model_type': 'ViT', 'num_layers': 15, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 26, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 59254017}",12,26,0,1,26,0.0,0.0,0.0,beitv2_base_patch16_224,,,,,
