model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.8.norm2,0.7519179283171428,0.4758084633216126,0.3503951518367285
beitv2_base_patch16_224.in1k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.6.attn,0.7519179283171428,0.501091713812891,0.3550529590011815
beitv2_base_patch16_224.in1k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.8.norm2,0.7519179283171428,0.4506514185490817,0.3317350770998319
beit_base_patch16_384.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.6.attn,0.7519179283171428,0.4840396677164875,0.4017092177849852
beit_large_patch16_224.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.9.mlp.act,0.7519179283171428,0.4084557516072482,0.2983438901022103
beit_large_patch16_384.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.12.mlp.fc1,0.7519179283171428,0.4344598827104592,0.3322214178169581
beit_large_patch16_512.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.9.mlp.act,0.7519179283171428,0.4272796437839581,0.3152304287753628
beitv2_large_patch16_224.in1k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.9.mlp.act,0.7519179283171428,0.4504376802239345,0.2993394059977199
beitv2_large_patch16_224.in1k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.9.mlp.act,0.7519179283171428,0.4675177988124059,0.3188138919848818
caformer_m36.sail_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.2.blocks.3.token_mixer.proj_drop,0.7519179283171428,0.4975663068303796,0.3227366806252418
caformer_m36.sail_in22k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.2.blocks.6.norm2,0.7519179283171428,0.4913799468241003,0.3678969945739485
