model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.1.drop_path1,0.8338078505508403,0.4271437560663262,0.2527842560160076
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.4.attn.proj_drop,0.8338078505508403,0.4032316301183877,0.24923138086936672
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.6.attn,0.8338078505508403,0.40748343226322725,0.26171783498338863
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.4.attn.proj_drop,0.8338078505508403,0.4058610117496375,0.21530421247720433
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8338078505508403,0.3278171536035989,0.18149522724848471
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8338078505508403,0.34523424711850825,0.18178754080486767
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8338078505508403,0.31393299965012794,0.17535433314809987
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8338078505508403,0.35902765943486875,0.22333831784323865
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8338078505508403,0.34040966257062943,0.20997786877589433
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,stages.2.blocks.1.norm2,0.8338078505508403,0.4504211679878883,0.2504981314924354
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,stages.2.blocks.1.norm2,0.8338078505508403,0.44006438765736344,0.23774004744930124
caformer_s18.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,stages.2.blocks.4.norm2,0.8338078505508403,0.44078475473775314,0.25512088634130475
caformer_s18.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,stages.2.blocks.0.layer_scale1,0.8338078505508403,0.45609375772325816,0.25166962077014354
caformer_s36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,stages.2.blocks.1.norm2,0.8338078505508403,0.465314502906172,0.25028405872924037
caformer_s36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,stages.2.blocks.1.norm2,0.8338078505508403,0.4771640487580215,0.2608761245655483
cait_s24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.2.attn.proj_drop,0.8338078505508403,0.44135680046235126,0.2500864676107079
cait_xxs24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.18.norm2,0.8338078505508403,0.4968919283137275,0.26075081466077427
cait_xxs36_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.4.mlp.fc1,0.8338078505508403,0.4694256558199307,0.2647201584744414
coat_lite_medium.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,serial_blocks3.4.norm2,0.8338078505508403,0.40517293954846245,0.24774168424260135
coat_lite_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,patch_embed4,0.8338078505508403,0.33543234668520766,0.23903849512831507
