model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.4549098337607421,0.1415595228315223
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.4549098337607421,0.1415595228315223
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.4.attn.proj_drop,0.7398336016091508,0.4679573257382295,0.1547007558702835
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.4.attn.proj_drop,0.7398336016091508,0.4867731872583552,0.1353057098718997
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.4689364497300604,0.1495180765403416
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.6.mlp.drop1,0.7398336016091508,0.3754805264806606,0.0786429891989456
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.6.mlp.drop1,0.7398336016091508,0.406400418776493,0.0914132904823932
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.9.mlp.act,0.7398336016091508,0.4115741491590709,0.11362349780556061
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.9.mlp.act,0.7398336016091508,0.396638273690607,0.120447747128239
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.9.mlp.act,0.7398336016091508,0.4107049467908389,0.1221806029362735
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm2,0.7398336016091508,0.4804972123033794,0.1265072324054212
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1,0.7398336016091508,0.4895350179723419,0.1671728423857849
caformer_s18.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.downsample.conv,0.7398336016091508,0.4728415946147936,0.1317476120210842
caformer_s18.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.downsample.conv,0.7398336016091508,0.4591439504116566,0.1399774753970022
caformer_s36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm2,0.7398336016091508,0.4689331590111472,0.1404522276962317
caformer_s36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm2,0.7398336016091508,0.4966085962761484,0.1194760672124756
cait_s24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.3.norm2,0.7398336016091508,0.5040171149787857,0.1409547442474163
cait_xxs24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.3.norm2,0.7398336016091508,0.4853725151743158,0.1412350553515987
cait_xxs36_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.4.mlp.fc1,0.7398336016091508,0.4943080613455934,0.1385237379430772
coat_lite_medium.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.4.norm2,0.7398336016091508,0.4660861140747959,0.08624848115495662
coat_lite_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.0.factoratt_crpe,0.7398336016091508,0.4235007998739413,0.1006042751984464
coat_lite_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.1.norm2,0.7398336016091508,0.482218348864384,0.154057780243795
coat_lite_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.0.factoratt_crpe,0.7398336016091508,0.4264942256372201,0.1134109786827459
coat_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,crpe4.conv_list.2,0.7398336016091508,0.3887517883113272,0.2366237729788262
coat_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks1.0.norm2,0.7398336016091508,0.3922474403182681,0.0662299642584493
coat_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.0.mlp.drop1,0.7398336016091508,0.4367127505806085,0.1465071201434366
coatnet_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.3.norm1,0.7398336016091508,0.4871205825729647,0.12185651493464501
coatnet_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.2,0.7398336016091508,0.4887969901532137,0.1205086664133808
coatnet_bn_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.0.shortcut.pool,0.7398336016091508,0.469161542132973,0.1536690450239821
coatnet_nano_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.0.norm1,0.7398336016091508,0.4502672681524196,0.10547132708549412
coatnet_rmlp_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.3.norm1,0.7398336016091508,0.4899759442194603,0.1386016533728669
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm1,0.7398336016091508,0.4916691360897922,0.1624970973478806
coatnet_rmlp_2_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm1,0.7398336016091508,0.492380427699522,0.1419244604040001
coatnet_rmlp_nano_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.attn.qkv,0.7398336016091508,0.4743157464054536,0.11835779308510151
convit_base.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.5.attn.v,0.7398336016091508,0.4566944173830747,0.1032059265251693
convit_small.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.5.attn.v,0.7398336016091508,0.4658504398213131,0.1360645959194887
convit_tiny.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.0.attn.v,0.7398336016091508,0.4693406828030561,0.1527467104506204
convmixer_1024_20_ks9_p14.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.11.0.fn.2,0.7398336016091508,0.1589855363732544,0.1483103963978436
convmixer_1536_20.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.10.0.fn.1,0.7398336016091508,0.3749120555572733,0.156590545176003
convmixer_768_32.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.19.0.fn.0,0.7398336016091508,0.4949170695539651,0.1528743401572819
davit_base.msft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.3.0.cpe1,0.7398336016091508,0.4911891228804632,0.1974129017189826
davit_small.msft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.3.0.cpe1,0.7398336016091508,0.4963413549165789,0.1576724576478367
davit_tiny.msft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1,0.7398336016091508,0.48086444902395,0.1497360568986191
deit_base_distilled_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2.drop_path1,0.7398336016091508,0.4944873940600927,0.1519435975585156
deit_base_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.4940243450997794,0.1203319528345513
deit_small_distilled_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.4892743088048952,0.1219995115997306
deit_small_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.495845593366857,0.1473528874377175
deit_tiny_distilled_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.488085790208084,0.1431408336855462
deit_tiny_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm1,0.7398336016091508,0.4816233666722364,0.1345012002831833
deit3_base_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.501009978461042,0.1554480765186546
deit3_base_patch16_224.fb_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.4785518320095308,0.1328424123369749
deit3_medium_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.4980290690142842,0.1463124438056146
deit3_medium_patch16_224.fb_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.3.ls1,0.7398336016091508,0.4887683791403562,0.153829272498191
deit3_small_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm1,0.7398336016091508,0.4876867262518102,0.1265987967800923
deit3_small_patch16_224.fb_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.4834845517357186,0.1659186325323472
densenet121.tv_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.denseblock3.denselayer17.norm1.drop,0.7398336016091508,0.4983430468026408,0.1016379393821299
densenet161.tv_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.denseblock3.denselayer19.conv1,0.7398336016091508,0.4979659756861854,0.1086185060895224
densenet169.tv_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.denseblock3.denselayer11.norm2.drop,0.7398336016091508,0.4799852628269815,0.1087391038117207
densenet201.tv_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.denseblock3.denselayer17.norm1.drop,0.7398336016091508,0.4907620311643577,0.1399712684158028
dla102.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree1.tree2.tree2.tree1.conv2,0.7398336016091508,0.4763522589172517,0.12085527376825142
dla169.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree1.tree2.tree2.tree2.tree1.conv2,0.7398336016091508,0.4929453079012012,0.18768423693588757
dla34.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree1.tree1.bn2,0.7398336016091508,0.4549936238539865,0.1198493089554187
dla46_c.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree2.tree2.bn2,0.7398336016091508,0.4565947022443757,0.1261618732569668
dla60.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree1.tree2,0.7398336016091508,0.4688267112058713,0.1271826732115008
dpn107.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_11.c1x1_a.conv,0.7398336016091508,0.4953218566970569,0.1577071874496958
dpn131.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_18.c1x1_c.bn.drop,0.7398336016091508,0.4966671159509593,0.17401480335130273
dpn68.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_8.c1x1_a.bn.drop,0.7398336016091508,0.5051284562356846,0.1123008767760535
dpn68b.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_6.c1x1_c.bn.drop,0.7398336016091508,0.4905570839845927,0.1608997663309633
dpn92.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_10.c1x1_a,0.7398336016091508,0.5051212304269586,0.1548834936114023
