model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std,new_brain_score,new_brain_score_std,new_ceiling_score
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.4549098337607421,0.1415595228315223,0.43590434220706087,0.10035499932059701,0.7720904522643185
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.4549098337607421,0.1415595228315223,0.43590434220706087,0.10035499932059701,0.7720904522643185
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.4.attn.proj_drop,0.7398336016091508,0.4679573257382295,0.1547007558702835,0.44840672836319273,0.10967114002450606,0.7720904522643185
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.4.attn.proj_drop,0.7398336016091508,0.4867731872583552,0.1353057098718997,0.4664364897143253,0.0959215187411166,0.7720904522643185
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.4689364497300604,0.1495180765403416,0.4493449459349471,0.10599701220723305,0.7720904522643185
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.6.mlp.drop1,0.7398336016091508,0.3754805264806606,0.0786429891989456,0.35979347941112366,0.0557519336726139,0.7720904522643185
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.6.mlp.drop1,0.7398336016091508,0.406400418776493,0.0914132904823932,0.38942158219559053,0.06480511180567007,0.7720904522643185
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.9.mlp.act,0.7398336016091508,0.4115741491590709,0.1136234978055606,0.3943791614163564,0.08055046963284729,0.7720904522643185
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.9.mlp.act,0.7398336016091508,0.396638273690607,0.120447747128239,0.3800672857693868,0.08538834646686325,0.7720904522643185
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.9.mlp.act,0.7398336016091508,0.4107049467908389,0.1221806029362735,0.39354627309772694,0.08661681022514367,0.7720904522643185
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm2,0.7398336016091508,0.4804972123033794,0.1265072324054212,0.46042271614552704,0.08968406341130733,0.7720904522643185
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1,0.7398336016091508,0.4895350179723419,0.1671728423857849,0.46908293503452203,0.11851290643310868,0.7720904522643185
caformer_s18.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.downsample.conv,0.7398336016091508,0.4728415946147936,0.1317476120210842,0.45308693937160294,0.09339909636882464,0.7720904522643185
caformer_s18.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.downsample.conv,0.7398336016091508,0.4591439504116566,0.1399774753970022,0.4399615634332689,0.09923344729752771,0.7720904522643185
caformer_s36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm2,0.7398336016091508,0.4689331590111472,0.1404522276962317,0.4493417926976311,0.09957001078484133,0.7720904522643185
caformer_s36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm2,0.7398336016091508,0.4966085962761484,0.1194760672124756,0.47586098920864356,0.08469949886879435,0.7720904522643185
cait_s24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.3.norm2,0.7398336016091508,0.5040171149787857,0.1409547442474163,0.48295999044390875,0.09992625702772207,0.7720904522643185
cait_xxs24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.3.norm2,0.7398336016091508,0.4853725151743158,0.1412350553515987,0.46509433573538506,0.10012497640814313,0.7720904522643185
cait_xxs36_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.4.mlp.fc1,0.7398336016091508,0.4943080613455934,0.1385237379430772,0.47365656738435,0.09820285735004253,0.7720904522643185
coat_lite_medium.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.4.norm2,0.7398336016091508,0.4660861140747959,0.0862484811549566,0.4466136932851509,0.06114365246914216,0.7720904522643185
coat_lite_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.0.factoratt_crpe,0.7398336016091508,0.4235007998739413,0.1006042751984464,0.40580753347773785,0.07132082510058481,0.7720904522643185
coat_lite_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.1.norm2,0.7398336016091508,0.482218348864384,0.154057780243795,0.46207194604735385,0.10921531891640435,0.7720904522643185
coat_lite_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.0.factoratt_crpe,0.7398336016091508,0.4264942256372201,0.1134109786827459,0.4086758981325543,0.0803998096419185,0.7720904522643185
coat_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,crpe4.conv_list.2,0.7398336016091508,0.3887517883113272,0.2366237729788262,0.3725102866314243,0.16774836550409303,0.7720904522643185
coat_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks1.0.norm2,0.7398336016091508,0.3922474403182681,0.0662299642584493,0.37585989522544694,0.046952037455439966,0.7720904522643185
coat_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,serial_blocks3.0.mlp.drop1,0.7398336016091508,0.4367127505806085,0.1465071201434366,0.4184675075091871,0.10386247176006459,0.7720904522643185
coatnet_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.3.norm1,0.7398336016091508,0.4871205825729647,0.121856514934645,0.4667693713424246,0.0863870563341112,0.7720904522643185
coatnet_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.2,0.7398336016091508,0.4887969901532137,0.1205086664133808,0.46837574097725576,0.08543153363432986,0.7720904522643185
coatnet_bn_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.0.shortcut.pool,0.7398336016091508,0.469161542132973,0.1536690450239821,0.449560634294586,0.10893973503522211,0.7720904522643185
coatnet_nano_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.0.norm1,0.7398336016091508,0.4502672681524196,0.1054713270854941,0.43145573644508184,0.07477119692332182,0.7720904522643185
coatnet_rmlp_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.3.norm1,0.7398336016091508,0.4899759442194603,0.1386016533728669,0.4695054400046236,0.09825809349909986,0.7720904522643185
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm1,0.7398336016091508,0.4916691360897922,0.1624970973478806,0.4711278927055594,0.11519815670298537,0.7720904522643185
coatnet_rmlp_2_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.norm1,0.7398336016091508,0.492380427699522,0.1419244604040001,0.47180946755456504,0.1006137124689993,0.7720904522643185
coatnet_rmlp_nano_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1.attn.qkv,0.7398336016091508,0.4743157464054536,0.1183577930851015,0.45449950317860777,0.0839067270576995,0.7720904522643185
convit_base.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.5.attn.v,0.7398336016091508,0.4566944173830747,0.1032059265251693,0.43761436844143664,0.0731651991978078,0.7720904522643185
convit_small.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.5.attn.v,0.7398336016091508,0.4658504398213131,0.1360645959194887,0.4463878651697411,0.09645951157456832,0.7720904522643185
